episode,category,split,policy,success,reason,lift_height,grasp_x,grasp_y,grasp_z,grasp_yaw,grasp_width,final_gripper_width,object_displacement,sampler_mode,settle_displacement
1000000,mug,unseen,cnn,True,success,0.17684856463964782,0.4526560019271782,0.10205456616929709,0.452433323264122,1.1780972480773926,0.04301276635225481,0.058427452580949994,0.005346286951076007,,4.4520487367942025e-07
1000001,dumbbell,unseen,cnn,False,closed_empty,0.011969799603327835,0.6374079614179448,0.043180848875996096,0.41738588966429235,1.1780972480773926,0.03930718339169068,1.4764961024135852e-06,0.11090670838446867,,0.0
1000002,cylinder,seen,cnn,True,success,0.19057836308803977,0.5832317010030763,-0.05476015460389658,0.4316578263044357,1.1780972480773926,0.042970466048341725,0.050432606646388406,0.0007603424994309548,,2.790578134710618e-07
1000003,dumbbell,unseen,cnn,False,closed_empty,0.03770770197131129,0.5289583561444009,-0.07729150698919414,0.41749153889715673,1.1780972480773912,0.0329518257670005,9.210813590848742e-08,0.038501394178380374,,0.0
1000004,ellipsoid,unseen,cnn,False,dropped,0.010558450220268911,0.6152008851834214,0.1308289372369111,0.41100000000000003,1.1780972480773935,0.04059967307789227,0.002226998106993244,0.10062094168491735,,8.191880845168113e-07
1000005,l_shape,unseen,cnn,False,dropped,0.03162084917886976,0.5038027836615364,-0.06722340177143253,0.41100000000000003,0.9162979125976567,0.03740798674096845,0.0022884076106110436,0.0579694389827991,,5.885112879452484e-08
1000006,mug,unseen,cnn,True,success,0.1637238168989016,0.4814346903153768,0.09203120093297938,0.4473027938604355,1.1780972480773926,0.04362229022825193,0.05921943351480552,0.008839871420588822,,6.61443608270906e-07
1000007,capsule,seen,cnn,False,closed_empty,0.001911825992760352,0.463273921424229,-0.11560062505416165,0.41265447296202185,0.9162979125976554,0.038800470385759324,2.0540339658532392e-07,0.010879250010409805,,4.223916860146111e-08
1000008,mug,unseen,cnn,True,success,0.1762620818042963,0.6185545163967199,0.05333948644221715,0.4270773024857044,1.1780972480773912,0.04244097496710201,0.07571311818786944,0.0050565117119675965,,1.1136742239811215e-06
1000009,sphere,seen,cnn,False,closed_empty,0.062076804744011616,0.46731795111195035,0.03779466542178585,0.4274369569122791,1.178097248077393,0.04192622639548785,0.0008763920056976339,0.060805518720651104,,0.0
