episode,category,split,policy,success,reason,lift_height,grasp_x,grasp_y,grasp_z,grasp_yaw,grasp_width,final_gripper_width,object_displacement,sampler_mode,settle_displacement
78,t_shape,unseen,heuristic,False,closed_empty,-5.3644380398343294e-06,0.5668288486790357,-0.021998947914864914,0.41230834878981115,0.07004194476837489,0.02560975783109336,3.2802597060341886e-09,0.02360773911612982,,4.737393785231013e-08
79,cylinder,seen,heuristic,True,success,0.17133546414925765,0.5501406928465302,0.1488536717675757,0.4582547301054001,-0.07118502375745983,0.057193902010143335,0.05408117597230712,0.012322495353033832,,1.5989258147818573e-07
80,capsule,seen,heuristic,False,closed_empty,1.5583351261283518e-05,0.49824604368431136,-0.02267498875169206,0.41985080994665624,-0.5678095282336946,0.04773154072219088,2.325253085357789e-07,0.003550229277218383,,3.226658569530786e-08
81,cylinder,seen,heuristic,True,success,0.18965445953905324,0.5197447309378498,-0.017877492610369618,0.4237053231149912,0.14400630394937952,0.05189147433003726,0.050878115466217844,0.00013343831227366346,,7.480449749327935e-07
82,l_shape,unseen,heuristic,True,success,0.21878818490727708,0.5666219723540221,-0.09939599242945926,0.41100000000000003,1.5682670270855548,0.008,0.02805690100380006,0.026580966174139072,,6.092676730096449e-08
83,sphere,seen,heuristic,True,success,0.18785048519371567,0.5289705569215825,-0.15361350116934697,0.41753022231161596,-0.020551223915243,0.043156177228701104,0.044717719549599425,0.0001289413364116661,,0.0
84,mug,unseen,heuristic,True,success,0.17527362040023803,0.47088707140211217,-0.03590280810347502,0.45355144679546355,1.4212109469590137,0.06236879027809447,0.060140253435892764,0.0004560444427316628,,4.455198076911313e-07
85,l_shape,unseen,heuristic,False,closed_empty,3.4988850705630625e-10,0.5368914118963984,-0.03833925327775343,0.41100000000000003,-1.0878684273949961,0.03419446913961792,1.773863458447212e-07,0.018261631025662015,,5.0931277683834454e-08
86,box,seen,heuristic,True,success,0.19517387829818555,0.4592624495379299,-0.07653599113069072,0.4258164854347706,-1.134997365445087,0.03986491006983897,0.03736729416758639,0.005734891645550504,,0.0
87,ellipsoid,unseen,heuristic,True,success,0.19418945705471352,0.5857057248064824,-0.0829559817042245,0.41100000000000003,-1.3484561359407259,0.035134870246238604,0.034892987446809604,0.0010550536703804153,,1.6583145633804993e-05
88,t_shape,unseen,heuristic,True,success,0.20035943394049366,0.557411386945045,0.027334287493209545,0.41100000000000003,0.883406051167646,0.027332743793684312,0.06031516931952088,0.002692058837166,,6.460636995950706e-08
89,ellipsoid,unseen,heuristic,True,success,0.19521112575426086,0.5610326062229268,0.039111014319885264,0.41100000000000003,-0.5832543233259582,0.0507431694408856,0.05009512974379931,0.0006055486071310763,,8.477082573424071e-06
90,dumbbell,unseen,heuristic,True,success,0.18544166863870326,0.5452154685171228,0.04762035355192413,0.41100000000000003,0.3344506876765987,0.016689499254792576,0.016286837155034248,0.0006941183457017475,,0.0
91,t_shape,unseen,heuristic,True,success,0.19635684608136728,0.506041590808381,-0.13852444866302835,0.41100000000000003,0.05179312163472449,0.026286732720598255,0.024258199380067146,0.0007593131196774288,,2.0547684584213387e-10
92,capsule,seen,heuristic,True,success,0.186904850638485,0.5662172146883906,-0.04247939872777859,0.41263021387159826,-1.3830653976283003,0.03376265696456143,0.03531629058414325,0.0011890701626591732,,3.867002157561663e-08
