episode,category,split,policy,success,reason,lift_height,grasp_x,grasp_y,grasp_z,grasp_yaw,grasp_width,final_gripper_width,object_displacement,sampler_mode,settle_displacement
0,capsule,seen,oracle,True,success,0.19044644804462685,0.5855902187508614,0.06906320384184916,0.4133228673521231,1.5452797718939566,0.03673485609940143,0.03669430682856365,0.0019831262480627643,,4.1063077203657224e-08
1,capsule,seen,oracle,True,success,0.19316431698324155,0.5546792017661728,-0.09609620338996913,0.4160995047353947,-0.9342322734896733,0.04233226972376182,0.04219006417077322,0.0021620642515213567,,4.39120852915206e-08
2,mug,unseen,oracle,True,success,0.1914206623186635,0.4991761244580652,0.01839018242247304,0.44416220469338863,-1.021043446423517,0.050388730577601244,0.050140941619906704,0.0031829775162385064,,7.209893008296824e-07
3,ellipsoid,unseen,oracle,True,success,0.19154532270173397,0.5836918784597364,-0.026345381487414596,0.4154869282332378,-1.5629761325300748,0.046992426936091805,0.04621833313418596,0.0016683234883620103,,2.5956124132853255e-05
4,cylinder,seen,oracle,True,success,0.1946166238438915,0.631031379939813,-0.010313278062374961,0.4434686884430178,-0.0586746835850962,0.05351006010550036,0.053140573900839705,7.07713576783844e-05,,5.7126432420741326e-08
5,box,seen,oracle,True,success,0.19700273818380792,0.58405113914159,0.10402739789263032,0.41100000000000003,0.726161390390935,0.040276233647618696,0.040238839646371455,0.00043666235607637936,,0.0
6,cylinder,seen,oracle,True,success,0.18296582197006567,0.49437054316027285,0.13341016419989168,0.44751201250234973,1.0919967830316821,0.047592549835950335,0.047489036014299685,0.004005662137676827,,1.0977581529611968e-07
7,capsule,seen,oracle,True,success,0.19158268120739957,0.5092757849934769,0.07389814515228547,0.4117047128632529,-1.0197982464932633,0.03349724240355688,0.03344769512486839,0.0016701925988891076,,4.09169326324689e-08
8,t_shape,unseen,oracle,True,success,0.18017976842099676,0.5670214269592216,0.013998474583541688,0.41100000000000003,-0.3705906389500715,0.024853149945756027,0.024829848753656115,0.01814205726502456,,5.014753306346494e-08
9,l_shape,unseen,oracle,False,closed_empty,0.013068569145939346,0.48515264053569424,0.11988049109649579,0.41100000000000003,1.044552133301976,0.02621122452863774,5.063854540105444e-06,0.11284875174911696,,6.201607439513724e-08
