episode,category,split,policy,success,reason,lift_height,grasp_x,grasp_y,grasp_z,grasp_yaw,grasp_width,final_gripper_width,object_displacement,sampler_mode,settle_displacement
1000000,mug,unseen,cnn,True,success,0.17685731335668298,0.4526560019271782,0.10205456616929709,0.452433323264122,1.1780972480773926,0.0519505156411503,0.058428359728620136,0.005305581675130457,,4.4520487367942025e-07
1000001,dumbbell,unseen,cnn,False,closed_empty,0.046576934804297365,0.5650159324196365,0.02701720701320741,0.4182835654169321,-1.4398967027664187,0.05005258564343381,0.00019198670677773245,0.026425779605780346,,0.0
1000002,cylinder,seen,cnn,True,success,0.1905766450486145,0.5832317010030763,-0.05476015460389658,0.4316578263044357,-1.4398967027664198,0.05785558207715655,0.050429371665334094,0.0030268595343279567,,2.790578134710618e-07
1000003,dumbbell,unseen,cnn,False,closed_empty,0.061268022567595726,0.5329783549339823,-0.07322572711704223,0.4176660314947367,-0.9162977933883686,0.038210328677984205,0.0006361631353787754,0.0650988511907141,,0.0
1000004,ellipsoid,unseen,cnn,True,success,0.10596742146862381,0.6152165648162065,0.1267347598957998,0.41100000000000003,-0.9162977933883667,0.04760541848730918,0.017244411582158014,0.015086450877365196,,8.191880845168113e-07
1000005,l_shape,unseen,cnn,False,closed_empty,3.1466046435113526e-10,0.5038027546359296,-0.0630866276345228,0.41100000000000003,-0.39269912242889404,0.042804315536524015,3.460593593855156e-08,0.03693848021914257,,5.885112879452484e-08
1000006,mug,unseen,cnn,True,success,0.16577382195638968,0.4814346903153768,0.09203120093297938,0.4473027938604355,-1.439896702766418,0.06452986259263405,0.059025225957321105,0.006218877364662471,,6.61443608270906e-07
1000007,capsule,seen,cnn,False,closed_empty,0.035146669788489016,0.4673787644318791,-0.11558027632672768,0.41269977249205114,-0.39269912242889404,0.0398664871322185,0.0002051378795959751,0.024021732665276904,,4.223916860146111e-08
1000008,mug,unseen,cnn,True,success,0.17956253059719424,0.6185545163967199,0.05333948644221715,0.4270773024857044,-1.4398967027664167,0.05977807412259437,0.06050858528214121,0.003917354041895258,,1.1136742239811215e-06
1000009,sphere,seen,cnn,False,no_lift,0.0033334385651113685,0.4711861468665873,0.0377991587634239,0.42737899139523505,-1.4398967027664185,0.05614996795093266,0.0013277942000701256,0.0028504089716886324,,0.0
1000010,sphere,seen,cnn,True,success,0.18569027262402243,0.5011201844869199,-0.12461479331115427,0.41921909011900427,-0.9162977933883656,0.03869178238877216,0.048267091214338975,0.0024592941601077156,,0.0
1000011,capsule,seen,cnn,True,success,0.1607492954597779,0.49236383398453837,0.05979859138111146,0.41503895677626135,0.9162979125976567,0.0461634926583892,0.040100644915714106,0.04612618305536091,,3.624801456938685e-08
1000012,cylinder,seen,cnn,True,success,0.19199774695785943,0.5967659399500269,0.050790577850024096,0.41947685040533544,-0.9162977933883664,0.04170569116675071,0.025485460930082148,0.0011332080793139327,,2.94150092426055e-07
1000013,ellipsoid,unseen,cnn,False,dropped,0.03578480956652741,0.4713153102184958,-0.11994192096173124,0.4121185974031687,-0.916297793388368,0.04449147718129255,0.012112180741917203,0.0468443931723851,,3.934542207973056e-07
1000014,sphere,seen,cnn,True,success,0.08293282938647573,0.4934303153979081,0.15754425216452372,0.4207470402866602,-1.439896702766419,0.05194282739230635,0.015516157192024201,0.00864000545989047,,0.0
1000015,l_shape,unseen,cnn,False,closed_empty,-3.948297318701055e-06,0.5997541843381864,-0.09330039308944892,0.41100000000000003,-0.39269912242889404,0.04436076075866302,0.0003197482818642356,0.05110555638450126,,3.8941248302157884e-10
1000016,box,seen,cnn,True,success,0.1977866769779893,0.6235859254333032,0.11867137561518351,0.41100000000000003,-0.9162977933883671,0.035679058797947916,0.039330993210559675,0.0026608824889480143,,1.159106867033638e-15
1000017,dumbbell,unseen,cnn,False,closed_empty,0.03994485428790423,0.5369443009354189,-0.09880093642145603,0.41377340115606787,-0.9162977933883679,0.04380400329409409,0.0008732319782759083,0.028376153484943427,,0.0
1000018,t_shape,unseen,cnn,True,success,0.1958165398763722,0.5953308767563548,-0.15137692697493274,0.41100000000000003,-0.3926991224288936,0.0448534783076075,0.04990545654685845,0.025279746284896147,,5.983723450338667e-08
1000019,sphere,seen,cnn,True,success,0.17154960092506816,0.5727619904037446,-0.0009927875879922608,0.42025820769369604,-1.4398967027664185,0.05374568015007293,0.04121530330289504,0.0010446400346499807,,0.0
1000020,capsule,seen,cnn,True,success,0.17015554177355274,0.48269571607591233,-0.08856116606449915,0.41100000000000003,-0.9162977933883663,0.041130706894715215,0.02583827166631776,0.02997242979788719,,4.43204126398911e-08
1000021,cylinder,seen,cnn,True,success,0.18054333556934649,0.5076066907611241,-0.03424435548109747,0.44935799181461333,-0.9162977933883671,0.034195748076121996,0.0359706097307541,0.0011885647146710927,,1.1854310466984073e-07
1000022,sphere,seen,cnn,True,success,0.18766240817269525,0.4701081749855586,0.05414155458865179,0.42237019397318365,-1.4398967027664178,0.057137128833462024,0.054275699870550316,0.0017132100795701172,,0.0
1000023,box,seen,cnn,False,closed_empty,2.7432933702442597e-10,0.6127879848046749,-0.046319626693883974,0.43940875470638274,1.178097248077393,0.052923760665856225,1.1275226937181707e-08,0.03929229578436165,,7.164218939837045e-16
1000024,capsule,seen,cnn,False,closed_empty,0.032363024284104314,0.6068112695501354,0.10587016559482988,0.4114340976625681,-0.9162977933883666,0.04500897331240373,4.0469800384173664e-07,0.04564182498755138,,4.742748035620513e-08
